BUA22CD,BUA22NM,BUA22NMW,BUA22NMG,BNG_E,BNG_N,LONG,LAT,OBJECTID,Shape__Area,Shape__Length
E63000065,Stamfordham, , ,407888.8126,571838.7045,-1.878089117,55.04099805,65,236250,5300
E63000066,Killingworth, , ,427303.1519,571754.6134,-1.574303944,55.03955979,66,3586875,31900
E63000067,Shiremoor, , ,431530.7865,571265.7337,-1.508207625,55.03491768,67,1253125,8250
E63000068,Humshaugh, , ,391953.2327,571235.7917,-2.127434781,55.03557402,68,353125,5700
E63000069,Woolsington, , ,419736.6155,571123.8924,-1.692743687,55.03424834,69,2958750,19600
E63000070,Medburn, , ,413241.6756,570552.5541,-1.794386114,55.02932813,70,324375,4450
E63000071,Ouston, , ,408184.6787,569912.5506,-1.873513776,55.02368475,71,718750,20500
E63000072,Longbenton, , ,427426.6888,569858.5668,-1.572552205,55.02251542,72,7364375,37550
E63000073,Tynemouth, , ,434266.7916,568980.6099,-1.46567548,55.01420381,73,16456250,61000
E63000074,Longtown, , ,338338.1702,568611.3465,-2.965657496,55.00822379,74,1656875,18850
E63000075,Callerton, , ,418037.6132,568558.3233,-1.71948606,55.01125824,75,304375,3450
E63000076,Wallsend, , ,430887.7143,567514.4805,-1.518672403,55.00124984,76,11348125,45450
E63000077,Newcastle upon Tyne, , ,423013.5668,567179.257,-1.641790824,54.99866193,77,60843750,158750
E63000078,Throckley, , ,415540.5289,566831.6032,-1.758624682,54.99582547,78,1720625,11850
E63000079,Heddon-on-the-Wall, , ,413135.887,566744.1307,-1.796214403,54.99510811,79,480000,5550
E63000080,Blackbank, , ,335141.4014,566707.7344,-3.015200509,54.99071334,80,3890625,13800
E63000081,Gilsland, , ,363538.0815,566334.8735,-2.571378429,54.99025771,81,222500,5950
E63000082,Acomb, , ,392889.9627,566310.3667,-2.112654243,54.99132806,82,423750,6050
E63000083,Walbottle, , ,416964.9974,566307.792,-1.736390439,54.99107231,83,445000,8150
E63000084,Horsley (Northumberland), , ,409481.9675,565814.8114,-1.853356524,54.98683925,84,244375,4250
E63000085,Newburn, , ,416711.5971,565508.438,-1.740397043,54.98389775,85,704375,8250
E63000086,Newton Hall, , ,404430.3071,565252.9994,-1.932307759,54.98186009,86,203750,2900
E63000087,South Shields, , ,436964.9628,565005.0356,-1.423995942,54.978288,87,15364375,47450
E63000088,Wylam, , ,411464.7674,564901.9408,-1.822407396,54.97859484,88,549375,7400
E63000089,Corbridge, , ,399323.7667,564765.8929,-2.012097003,54.97750092,89,1211250,9250
E63000090,Hebburn, , ,431181.0105,564524.8929,-1.514411781,54.97436765,90,5100000,30450
E63000091,Redburn, , ,376738.2144,564503.6975,-2.364936437,54.97459718,91,266250,5650
E63000092,Haydon Bridge, , ,383960.2771,564447.1686,-2.252108867,54.97437562,92,419375,6500
